codi_eoi,nom_estacio,data,magnitud,contaminant,unitats,tipus_estacio,area_urbana,codi_ine,municipi,codi_comarca,nom_comarca,h01,h02,h03,h04,altitud,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
08019043,Barcelona (Eixample),2022-11-04T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,11,12,6,7,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,11,10,16,28,51,58,66,130,91,51,33,51,59,76,53,72,34,35,24,30
08019044,Barcelona (Gràcia - Sant Gervasi),2022-11-04T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,5,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,4,9,2,10,16,43,32,41,44,37,14,43,31,35,34,34,21,23,18,14
08019054,Barcelona (Parc Vall Hebron),2022-11-04T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,9,6,4,3,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,6,7,8,13,29,38,47,52,52,36,15,19,31,28,35,32,26,14,14,8
08019057,Barcelona (Palau Reial),2022-11-04T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,5,4,3,4,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,7,6,7,11,19,16,17,25,32,19,14,18,18,20,23,17,11,8,7,6
08019057,Barcelona (Palau Reial),2022-11-04T00:00:00.000,9,PM2.5,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,3,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,3,4,5,6,5,5,6,6,4,3,3,3,3,4,4,3,3,3,3
08019058,Barcelona (Observatori Fabra),2022-11-04T00:00:00.000,10,PM10,µg/m3,background,suburban,08019,Barcelona,13,Barcelonès,4,1,2,2,415,41.41843,2.1238973,"{'type': 'Point', 'coordinates': [2.1238973, 41.41843]}",512,29,9,7,3,8,13,19,20,30,31,17,12,25,26,28,29,26,17,19,14,11
08101001,L'Hospitalet de Llobregat,2022-11-04T00:00:00.000,10,PM10,µg/m3,background,urban,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,13,5,5,3,29,41.370476,2.1149993,"{'type': 'Point', 'coordinates': [2.1149993, 41.370476]}",117,29,8,10,11,33,39,42,45,80,90,44,34,41,46,40,49,43,38,20,16,14
08194008,Sant Adrià de Besòs,2022-11-04T00:00:00.000,10,PM10,µg/m3,traffic,urban,08194,Sant Adrià de Besòs,13,Barcelonès,5,1,1,1,7,41.425594,2.2221997,"{'type': 'Point', 'coordinates': [2.2221997, 41.425594]}",841,29,2,4,7,12,22,41,32,36,55,70,8,30,44,54,35,38,24,21,16,15
08019004,Barcelona (Poblenou),2022-11-03T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,22,19,21,30,3,41.40388,2.204501,"{'type': 'Point', 'coordinates': [2.204501, 41.40388]}",512,29,22,22,23,64,48,85,96,74,48,50,37,31,39,60,69,39,36,24,22,24
08019043,Barcelona (Eixample),2022-11-03T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,20,10,11,16,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,29,27,37,43,64,,,,,72,61,47,39,96,48,45,37,37,47,18
08019044,Barcelona (Gràcia - Sant Gervasi),2022-11-03T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,19,8,11,9,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,13,14,23,26,46,50,59,52,45,32,22,20,16,27,30,22,23,18,18,13
08194008,Sant Adrià de Besòs,2022-11-03T00:00:00.000,10,PM10,µg/m3,traffic,urban,08194,Sant Adrià de Besòs,13,Barcelonès,28,25,23,25,7,41.425594,2.2221997,"{'type': 'Point', 'coordinates': [2.2221997, 41.425594]}",841,29,26,26,29,36,47,59,65,95,46,28,30,26,16,13,21,22,20,17,20,18
08101001,L'Hospitalet de Llobregat,2022-11-03T00:00:00.000,10,PM10,µg/m3,background,urban,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,16,13,19,19,29,41.370476,2.1149993,"{'type': 'Point', 'coordinates': [2.1149993, 41.370476]}",117,29,16,21,26,38,58,74,64,48,45,56,43,36,26,37,28,30,26,23,19,14
08019054,Barcelona (Parc Vall Hebron),2022-11-03T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,12,11,10,8,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,6,9,11,15,28,35,40,30,39,40,35,23,26,25,25,25,24,14,12,10
